part_id,subsystem,part_name_cn,part_name_en,recommended_spec,candidate_model_or_series,quantity,supplier_candidate,cad_source,cad_format_preference,cad_download_status,fallback_allowed,fallback_model_strategy,material,function,selection_reason,risk_note,next_action
SP-011,Transmission,联轴器,Shaft coupling,"Motor shaft to screw/pulley shaft coupling; bore sizes TBD","Flexible jaw or beam coupling series",3,"MISUMI; McMaster-Carr; Ruland-equivalent","https://www.mcmaster.com/shaft-couplings/","STEP",manual_download_required,false,"No final fallback because bore and length define shaft stack","Aluminum or stainless steel","Connects motor shaft to drive shaft or lead screw","Flexible coupling tolerates small alignment errors","Wrong bore size or coupling stiffness may cause vibration/backlash","Finalize after motor shaft and screw/pulley shaft diameters are known"
SP-012,Transmission,轴承座,Bearing block,"Support bearing block for pulley shaft or screw end; bore matched to shaft","Pillow block/flanged bearing block/BK-BF style compact support",4,"MISUMI; McMaster-Carr; TraceParts","https://www.traceparts.com/en/search/bearing-block","STEP; Parasolid",manual_download_required,false,"Envelope fallback only until bore and mounting holes confirmed","Steel or aluminum housing; bearing steel","Supports rotating belt or screw shafts","Bearing supports reduce shaft deflection and define drive alignment","Mounting hole pattern and bearing preload vary by supplier","Select with shaft size and axis packaging"
SP-013,End effector,电动两指平行夹爪,Electric two-finger parallel gripper,"Stroke suitable for 13 mm tube; soft pad interface; compact vertical mounting","SMC LEH/LEHF class; Festo EHPS class; equivalent electric gripper",1,"SMC; Festo","https://www.smc.com.cn/products/pickup/en-hk/electric_actuator/electric-grippers/; https://ftp.festo.com/Public/PNEUMATIC/SOFTWARE_SERVICE/Documentation/2025/EN_US/EHPS_ENUS.PDF","STEP; SolidWorks",manual_download_required,false,"No fallback for design freeze; gripper CAD required for flange and mass","Aluminum body; steel guide; elastomer pad optional","Grips and releases blood sample tube","Electric gripper avoids pneumatic system and supports controllable stroke/force","Tube damage risk requires force control or compliant pads","Choose gripper after tube contact geometry and mass are confirmed"
SP-014,End effector,夹爪软垫,Gripper soft pad,"Silicone or TPU pads shaped for 13 mm cylindrical tube; replaceable","Custom pad or supplier accessory pad; exact geometry TBD",2,"SMC; Festo; custom silicone/TPU supplier","Supplier accessory CAD or custom drawing","STEP for custom pad later",not_started,true,"Temporary simplified pad acceptable for envelope; final pad needs drawing/material","Silicone or TPU","Protects tube and increases grip friction","Soft pad reduces glass/plastic stress and slipping","Material hardness and sterilization compatibility need review","Define pad hardness, contact radius, and attachment method in Stage 2"
SP-015,Cable management,拖链,Cable drag chain,"Small e-chain for X/Y moving cables; bend radius matched to cables","igus E2 micro or equivalent small e-chain series",1,"igus; MISUMI; McMaster-Carr","https://www.igus.eu/info/echain-3d-cad","STEP; IGES; native CAD",manual_download_required,true,"Fallback allowed for routing envelope only; final chain CAD preferred","Plastic cable carrier","Routes and protects moving cables","igus and similar suppliers provide configurable chain CAD and bend radius data","Cable fill ratio and bend radius must be checked","Select cable list then configure chain size and length"
SP-016,Safety,限位开关,Limit switch,"Compact mechanical or inductive home/limit switch; each axis home plus travel limit","Omron/Panasonic/MISUMI micro switch or proximity switch class",6,"MISUMI; Omron; TraceParts; McMaster-Carr","https://www.traceparts.com/en/search/limit-switch","STEP; SolidWorks",manual_download_required,false,"No final fallback for safety switch mounting","Plastic/metal switch body","Home and travel limit detection","Limit switches are required for commissioning and safe travel control","Switch actuation direction and repeatability affect homing precision","Choose switch type and actuator target after axis CAD"
SP-017,Sensing,光电传感器,Photoelectric sensor,"Compact sensor for tube/rack presence; bracket mountable","SICK/Keyence/Omron photoelectric sensor class",1,"SICK; Keyence; Omron; TraceParts","https://www.traceparts.com/en/search/photoelectric-sensor","STEP; SolidWorks",manual_download_required,false,"No final fallback for sensor bracket freeze","Plastic/metal sensor body","Detects tube or rack presence","Industrial sensor supports reliable non-contact detection","Exact sensing distance and mounting angle must be verified","Select sensor after workspace and bracket location are fixed"
SP-018,Sensing,扫码模块外形件,Barcode scanner module envelope,"Compact barcode scanner envelope near gripper or fixed station","Keyence/SICK/Datalogic compact barcode reader class",1,"Keyence; SICK; Datalogic; TraceParts","Vendor CAD or TraceParts search","STEP; SolidWorks",manual_download_required,true,"Fallback allowed for visual envelope until scanner selected","Plastic/metal housing","Represents barcode scanning module for sample identification","Barcode reader is needed for sample traceability but model can be envelope-first","Real scanner availability and data interface not frozen","Define scan strategy and select scanner series in Stage 2"
SP-019,Safety,急停按钮,Emergency stop button,"Panel mount mushroom E-stop; safety-rated; front accessible","Schneider/Siemens/IDEC class 22 mm emergency stop",1,"Schneider; Siemens; IDEC; TraceParts","https://www.traceparts.com/en/search/rs-group-electrical-automation-cables-switches-push-button-switches-components-emergency-stop-push-buttons","STEP; SolidWorks",manual_download_required,false,"No fallback for final safety panel layout","Plastic actuator; metal/plastic contact block","Operator emergency stop","Safety-related part must use real rated component","Electrical safety circuit is outside current CAD-only scope","Choose rated E-stop and contact block family"
SP-020,Electrical,控制盒,Control enclosure,"Electrical enclosure for controller, drives, power supply; size TBD","Hammond/Rittal/McMaster enclosure class",1,"McMaster-Carr; Hammond; Rittal; MISUMI","https://www.mcmaster.com/electrical-enclosures/","STEP",manual_download_required,true,"Fallback allowed for early enclosure envelope; final enclosure CAD preferred","Steel, aluminum, or plastic enclosure","Houses control electronics","A standard enclosure improves manufacturability and cable management","Thermal, grounding, and access requirements not yet defined","Estimate electronics volume and choose enclosure size"
SP-021,Frame,铝型材或支撑框架件,Aluminum extrusion or support frame components,"2020/2040 class or industrial profile for supports and guards; length TBD","MISUMI aluminum extrusion; Bosch Rexroth-compatible profile",1 set,"MISUMI; McMaster-Carr; Bosch Rexroth-equivalent","https://us.misumi-ec.com/maker/misumi/mech/cad/","STEP; native CAD",manual_download_required,true,"Fallback allowed for early frame envelope; final cut list required","Aluminum extrusion","Supports frame, enclosure, sensor mounts, or auxiliary brackets","Profiles are modular and easy to adapt during design iteration","Slot standard and fastener compatibility must be consistent","Choose profile family and slot standard before detailed frame design"
SP-022,Frame,角码,Angle bracket,"Profile corner brackets matching chosen extrusion slot",1 set,"MISUMI; McMaster-Carr; Bosch Rexroth-equivalent","https://www.mcmaster.com/t-slotted-framing-brackets/","STEP",manual_download_required,true,"Fallback allowed for early visualization; final bracket CAD preferred","Aluminum or steel","Connects aluminum profiles and guard frame","Standard brackets reduce custom machining","Depends on selected profile series","Select after extrusion family is fixed"
SP-023,Fasteners,紧固件,Fasteners,"M3/M4/M5 socket head screws, T-nuts, washers, dowel pins as needed",1 set,"MISUMI; McMaster-Carr","https://www.mcmaster.com/socket-head-screws/","STEP optional; BOM table sufficient for common fasteners",not_started,true,"Generic fastener library acceptable until release BOM","304 stainless steel or alloy steel","Assembly fastening","Common fasteners can be selected after hole sizes and materials are fixed","Over-modeling every screw may slow CAD; release BOM still needs exact sizes","Define fastener standard and preferred material in drawing phase"
SP-024,Safety enclosure,透明PC防护罩相关标准件,Transparent PC guard hardware,"Transparent PC panels, hinges, handles, latches, rubber bumpers, panel clips","McMaster-Carr guard hardware; MISUMI panel accessories; equivalent",1 set,"McMaster-Carr; MISUMI; local sheet supplier","https://www.mcmaster.com/polycarbonate-sheets/","STEP for hinges/latches; drawings for panels",manual_download_required,true,"Fallback allowed for guard envelope; final hardware CAD/drawings required","Transparent PC; stainless/aluminum hardware","Provides operator protection and visibility","Protective cover is required for moving axes and sample area","Panel thickness, door access, and interlock requirements not yet frozen","Define guard concept, access doors, and hardware list in Stage 2"
